Category 	Item_Name	Notes	Kotlin	TypeScript	Swift	Scala	Go	Python	Java	Javascript	Ruby	C++	C#	R	Shell	PHP	Dart	Rust	Perl	VB	OC	Lua
	map		val occupations = mutableMapOf(     "Malcolm" to "Captain",     "Kaylee" to "Mechanic" ) occupations["Jayne"] = "Public Relations"	let occupations = {     "Malcolm": "Captain",     "Kaylee": "Mechanic", }; occupations["Jayne"] = "Public Relations";																		
	tuple		// data class as Tuple in Kotlin data class GasPrices(val a: Double, val b: Double, val c: Double)  fun main7() {     val price = GasPrices(3.59, 3.69, 3.79)     val (a, b, _) = price }	type GasPrices = [number, number, number]  //Labeled Tuple type Range = [start: number, end: number];  function main4() {     let price: GasPrices = [3.59, 3.69, 3.79]     let [a, b, c] = price; }																		
	filter_map_reduce		fun main13() {     val shoppingList = arrayOf("catfish", "water", "tulips", "blue paint")     shoppingList.filter { it.startsWith("c") }         .map { it.length }         .reduce { acc, i -> acc + i }      shoppingList.filter { it.startsWith("c") }         .forEach(::println) }	let shoppingList2 = ["catfish", "water", "tulips", "blue paint"];  shoppingList2     .filter(item => item.startsWith("c"))     .map(item => item.length)     .reduce((acc, item) => acc + item)  shoppingList2     .filter(item => item.startsWith("c"))     .forEach(item => {         console.log(item)     })																		
	empty_collections		val emptyArray = arrayOf<String>() val emptyMap = mapOf<String, Float>()	const emptyArray: string[]; const emptyDictionary: {[key: string]: number};																		
FUNCTIONS	functions		fun greet(name: String, day: String): String {     return "Hello $name, today is $day." } greet("Bob", "Tuesday")	function greet(name: string, day: string): string {     return `Hello ${name}, today is ${day}.` } greet("Bob", "Tuesday");																		
	variable_number_of_arguments		fun sumOf(vararg numbers: Int): Int {     var sum = 0     for (number in numbers) {         sum += number     }     return sum }  fun main3() {     sumOf(42, 597, 12)     // sumOf() can also be written in a shorter way:     fun sumOf(vararg numbers: Int) = numbers.sum() }	function sumOf(...numbers: number[]): number{     let sum = 0;     for (let number of numbers) {         sum += number;     }     return sum; } sumOf(42, 597, 12);																		
	function_type		fun makeIncrementer(): (Int) -> Int {     val addOne = fun(number: Int): Int {         return 1 + number     }     return addOne } val increment = makeIncrementer() increment(7)  // makeIncrementer can also be written in a shorter way: fun makeIncrementer() = fun(number: Int) = 1 + number	function makeIncrementer():(number) => number{     function addOne(number: number): number {         return 1 + number;     }     return addOne } let increment = makeIncrementer(); increment(7);  // makeIncrementer can also be written in a shorter way: let makeIncrementer = () => (number: number) => 1 + number;																		
	functional_interface		fun interface IntPredicate {     fun accept(i: Int): Boolean }  val isEven = IntPredicate { it % 2 == 0 }  fun main() {     println("Is 7 even? - ${isEven.accept(7)}") }	interface SearchFunc {   (source: string, subString: string): boolean; }  let mySearch: SearchFunc;  mySearch = function (source: string, subString: string) {   let result = source.search(subString);   return result > -1; };																		
	lambda_arrow_function		//lambda val printText = { text: String ->     println(text) }	//arrow function let printText = (text: string) => {     console.log(text) }																		
	named_arguments		fun area(width: Int, height: Int) = width * height area(width = 2, height = 3)  // This is also possible with named arguments area(2, height = 2) area(height = 3, width = 2)	function area({width, height}:{width:number, height:number}):number {     return width * height; } area({width: 2, height: 3});																		
	functions_generics		fun  identity(value: T): T {     return value }  val str = identity("Hello")	function identity(value: T): T {     return value; }  let str: string = identity("Hello");																		
	generator_function		val sequence2 = sequence {     val start = 0     // yielding a single value     yield(start)     // yielding an iterable     yieldAll(1..5 step 2)     // yielding an infinite sequence     yieldAll(generateSequence(8) { it * 3 }) }  println(sequence2.take(7).toList()) // [0, 1, 3, 5, 8, 24, 72]	function* counter(max: number): Generator {     let i = 0;     while (i < max) {         if (yield i++) {             break;         }     } }  for (let num of counter(3)) {     console.log(num); }																		
	async_generator_function		import kotlinx.coroutines.delay import kotlinx.coroutines.flow.Flow import kotlinx.coroutines.flow.flow  fun simple(): Flow = flow { // flow builder     for (i in 1..3) {         delay(100) // pretend we are doing something useful here         emit(i) // emit next value     } }  fun main() = runBlocking {     // Collect the flow     simple().collect { value -> println(value) } }	// async generator function async function* g() {   yield 1;   await sleep(100);   yield* [2, 3];   yield* (async function*() {     await sleep(100);     yield 4;   })(); }  async function f() {   //The for-await-of Statement   for await (const x of g()) {     console.log(x);   } }																		
	optional_default_value_params		//Optional Parameters by default value fun sayHello(name: String = "") {  }  fun main4() {     sayHello()     sayHello("Jackie") }	// Optional Parameters function sayHello(hello?: string) {     console.log(hello); }  //default-initialized parameters function buildName(firstName: string, lastName = "Smith") {     return firstName + " " + lastName; }  sayHello() sayHello("Jackie")  buildName("Jack") buildName("Jack", "Ma")																		
	method_extension		import kotlin.js.RegExp  fun String.isEmailValid(): Boolean {     val pattern = RegExp("^[\\w.-]+@([\\w\\-]+\\.)+[A-Z]{2,8}$", "i")     return pattern.test(this) }	declare interface String {     isEmailValid(): boolean; }  String.prototype.isEmailValid = function (this: string): boolean {     let re = new RegExp("^[\\w.-]+@([\\w\\-]+\\.)+[A-Z]{2,8}$", 'i');     return re.test(this); };																		
