Category,ItemName,EN,CN,Kotlin,TypeScript,Swift,Scala,Go,Python,Java,Javascript,Ruby,C++,C#,R,Shell,PHP,Dart,Rust,Perl,VB,OC,Lua
,indexed_operator,Indexed operator/Indexable Types,索引操作符/可索引类型,"//Indexed access operator
class StringArray {
    operator fun get(index: Int): String {
        return """"
    }

    operator fun set(index: Int, value: String) {

    }

    operator fun get(index: String): String {
        return """"
    }

    operator fun set(index: String, value: String) {

    }
}

fun main8() {
    val stringArray = StringArray()
    stringArray[0]
    stringArray[""first""] = ""second""
}","//Indexed access operator
class StringArray {
    operator fun get(index: Int): String {
        return """"
    }

    operator fun set(index: Int, value: String) {

    }

    operator fun get(index: String): String {
        return """"
    }

    operator fun set(index: String, value: String) {

    }
}

fun main8() {
    val stringArray = StringArray()
    stringArray[0]
    stringArray[""first""] = ""second""
}",,,,,,,,,,,,,,,,,,
,data_class,Data Class,数据类,"data class Point(val x: Double, val y: Double)

val point = Point(1.0, 2.0);","type Point = {
    x: number,
    y: number
}

let point: Point = {x: 1.0, y: 2.0};",,,,,,,,,,,,,,,,,,
,readonly_property,Readonly Property,只读属性,"//use val for readonly
data class Foo2(val bar: Double, val bas: Double)

fun main11() {
    val foo2 = Foo2(1.0, 2.0)
    foo2.bar = 2.0 //illegal
}","type Foo2 = {
    readonly bar: number;
    readonly bas: number;
};
const foo: Foo2 = {bar: 123, bas: 456};
foo.bar = 456; // illegal",,,,,,,,,,,,,,,,,,
,generics,Generics,泛型,"class Box(val value: T) {

}

val box = Box(1.0)","class Box {
    value: T;

    constructor(value: T) {
        this.value = value;
    }
}

let x: Box = new Box(1.0);",,,,,,,,,,,,,,,,,,
,dynamic_keys,Dynamic keys,动态键,"class MyClass {
    private val store = mutableMapOf()
    operator fun get(key: String): Any? {
        return store[key]
    }

    operator fun set(key: String, value: Any) {
        store[key] = value
    }
}","interface DictionarySupport {
    [index: string]: any;
}",,,,,,,,,,,,,,,,,,
Async,coroutines_promise,Coroutines/Promise,协程/承诺,"suspend fun findNickById(id: Int): String {
    return ""nick $id""
}

suspend fun main() {
    val nick = findNickById(1)
}","//Promise
const promise1 = new Promise((resolve, reject) => {
    resolve(""good"")
    //reject(new Error('failed'));
});

promise1.then(value => {
    console.log('Hi', value);
}).catch(error => {
    console.log('Oops', error);
});

(async () => {
    let value = await promise1
    console.log(value)
})();",,,,,,,,,,,,,,,,,,
,flow_observable,Flow/Observable,"Flow/Observable
","import kotlinx.coroutines.flow.Flow
import kotlinx.coroutines.flow.asFlow
import kotlinx.coroutines.flow.onEach

fun findVip(): Flow {
    return arrayOf(""first"", ""second"").asFlow()
}

fun main2() {
    findVip().onEach {
        print(it)
    }
}","import { from } from 'rxjs';
const result = from( [10, 20, 30]);

result.subscribe(x => console.log(x));",,,,,,,,,,,,,,,,,,
Module/Namespace,namespace,Namespace,命名空间,"package validation

import kotlin.js.RegExp

val zipCodeRegex = RegExp(""[0-9]+"")

interface StringValidator {
    fun isAcceptable(s: String): Boolean;
}

class ZipCodeValidator : StringValidator {
    override fun isAcceptable(s: String): Boolean {
        return s.length == 5 && zipCodeRegex.test(s);
    }
}","namespace Validation {
    const numberRegexp = /^[0-9]+$/;

    export interface StringValidator {
        isAcceptable(s: string): boolean;
    }

    export class ZipCodeValidator implements StringValidator {
        isAcceptable(s: string): boolean {
            return s.length === 5 && numberRegexp.test(s);
        }
    }
}

let validators: { [s: string]: Validation.StringValidator; } = {};
validators[""ZipCode""] = new Validation.ZipCodeValidator();",,,,,,,,,,,,,,,,,,
,external_declare,External Declare,外部声明,"@file:JsModule(""lodash"")
package lodash

@JsName(""toUpper"")
external fun toUpper(text: String): String","//index.d.ts
export = _;
export as namespace _;

declare const _: _.LoDashStatic;
declare namespace _ {
    interface LoDashStatic {
    }
}",,,,,,,,,,,,,,,,,,
,module_export,Module Export,模块导出,"@JsExport
@JsName(""hello"")
fun hello(name: String): String {
    return ""Hello name""
}","export function hello(name: string): string {
    return `Hello ${name}!`
}",,,,,,,,,,,,,,,,,,
"Tools/Library
",unit_test,Unit Test,单元测试,"// testImplementation(kotlin(""test-js"")) in build.gradle.ts
import kotlin.test.Test
import kotlin.test.assertEquals

class DemoTest {
    @Test
    fun testBar() {
        console.log(""Hello World!"")
        assertEquals(4, 2 * 2)
    }
}","// jest, ts-jest
test(""hello test"", () => {
    console.log(""hello test"");
});",,,,,,,,,,,,,,,,,,
Special,special_usages,Special Usages,特殊用法,"//When expression
when (x) {
    in 1..10 -> print(""x is in the range"")
    in validNumbers -> print(""x is valid"")
    !in 10..20 -> print(""x is outside the range"")
    else -> print(""none of the above"")
}

// DSL
html {
  head {
     title {+""XML encoding with Kotlin""}
  }
}

//Operator overloading: https://kotlinlang.org/docs/operator-overloading.html#unary-operations

//Delegated properties
class Example {
    var p: String by Delegate()
}","// tagged literal
const code = html`xxx`

//String Literal Types
type EventType = ""click"" | ""mouseover"";

// union
type TextOrNumber = string | number;

// tuple
let x2: [string, number] = [""hello"", 10];",,,,,,,,,,,,,,,,,,
